degree distribution (degree-occurrences)
7.46083	0.135625
9.43609	0.083125
11.4362	0.05875
13.8817	0.03875
16.7458	0.0245833
20.5614	0.0178125
25	0.01375
30.8378	0.00770833
36.7143	0.00546875
45.95	0.00277778

--------------------------------------
community distribution (size-occurrences)
21  1
22  2
23  5
24  3
25  3
31  1
33  2
35  3
37  3
39  3
43  1

--------------------------------------
mixing parameter
0.0926362	0.01375
0.134729	0.1875
0.194962	0.45625
0.238362	0.2625
0.28648	0.07
0.354167	0.0025
0.428571	0.0025
