1	13
2	5
3	12
4	9
5	8
6	4
7	4
8	2
9	3
10	1
11	8
12	6
13	6
14	11
15	10
16	12
17	7
18	1
19	1
20	7
21	13
22	8
23	12
24	8
25	10
26	4
27	3
28	13
29	10
30	7
31	6
32	11
33	3
34	11
35	3
36	5
37	8
38	1
39	6
40	3
41	3
42	9
43	2
44	8
45	8
46	11
47	6
48	8
49	12
50	11
51	6
52	13
53	12
54	3
55	8
56	11
57	5
58	2
59	6
60	13
61	8
62	12
63	1
64	12
65	9
66	6
67	2
68	7
69	5
70	6
71	12
72	11
73	12
74	3
75	8
76	8
77	8
78	8
79	7
80	6
81	11
82	3
83	7
84	6
85	13
86	4
87	12
88	13
89	4
90	11
91	8
92	13
93	5
94	1
95	7
96	2
97	8
98	8
99	4
100	11
101	11
102	7
103	4
104	8
105	6
106	8
107	10
108	2
109	12
110	3
111	8
112	13
113	12
114	6
115	12
116	11
117	1
118	7
119	11
120	11
121	7
122	1
123	8
124	13
125	7
126	4
127	6
128	12
129	3
130	3
131	12
132	6
133	2
134	11
135	7
136	2
137	10
138	1
139	1
140	5
141	13
142	6
143	11
144	12
145	12
146	3
147	2
148	8
149	3
150	11
151	5
152	12
153	7
154	10
155	11
156	11
157	1
158	13
159	1
160	12
161	9
162	7
163	9
164	11
165	10
166	13
167	1
168	2
169	8
170	3
171	10
172	4
173	10
174	8
175	12
176	12
177	4
178	8
179	3
180	10
181	9
182	12
183	4
184	8
185	8
186	2
187	2
188	3
189	9
190	13
191	10
192	12
193	12
194	13
195	10
196	8
197	2
198	11
199	4
200	13
201	8
202	10
203	4
204	4
205	3
206	11
207	13
208	11
209	9
210	6
211	4
212	6
213	13
214	9
215	3
216	4
217	6
218	6
219	2
220	11
221	6
222	1
223	5
224	12
225	4
226	1
227	13
228	10
229	13
230	4
231	4
232	11
233	9
234	1
235	9
236	9
237	12
238	10
239	13
240	5
241	13
242	12
243	6
244	9
245	4
246	12
247	1
248	2
249	10
250	5
251	11
252	12
253	3
254	2
255	9
256	6
257	5
258	11
259	8
260	12
261	12
262	4
263	12
264	10
265	5
266	2
267	2
268	8
269	6
270	7
271	5
272	5
273	11
274	1
275	5
276	2
277	3
278	1
279	10
280	11
281	13
282	7
283	3
284	7
285	11
286	7
287	2
288	13
289	9
290	13
291	7
292	3
293	4
294	9
295	1
296	4
297	6
298	8
299	1
300	5
301	2
302	4
303	8
304	4
305	9
306	9
307	9
308	5
309	7
310	8
311	5
312	5
313	2
314	8
315	10
316	9
317	1
318	5
319	12
320	2
321	9
322	1
323	11
324	8
325	12
326	11
327	3
328	12
329	9
330	4
331	12
332	8
333	7
334	4
335	4
336	13
337	5
338	4
339	8
340	8
341	2
342	4
343	5
344	13
345	4
346	9
347	9
348	10
349	7
350	5
351	5
352	5
353	12
354	9
355	5
356	12
357	5
358	13
359	2
360	5
361	7
362	12
363	12
364	1
365	10
366	10
367	9
368	4
369	3
370	1
371	13
372	2
373	10
374	11
375	9
376	12
377	6
378	7
379	12
380	1
381	3
382	8
383	11
384	13
385	2
386	5
387	10
388	10
389	13
390	3
391	12
392	9
393	13
394	12
395	10
396	13
397	5
398	1
399	12
400	6
