degree distribution (degree-occurrences)
7.43939	0.132
9.45122	0.082
11.4615	0.0585
14.0351	0.038
17.0714	0.0233333
20.3889	0.0225
24.6724	0.0116
30.3696	0.00766667
37.6744	0.005375
45.2647	0.00377778

--------------------------------------
community distribution (size-occurrences)
20  1
21  3
22  2
23  1
24  1
25  2
28  1
30  1
31  1
32  1
34  1
35  1
37  2
39  4
41  1
42  2
43  1
44  1
46  1
49  2

--------------------------------------
mixing parameter
0.1	0.001
0.137599	0.199
0.193956	0.497
0.23839	0.249
0.285714	0.051
0.333333	0.002
